iter	F1	Logloss
0	0.51332813	0.6912924426
1	0.5266047953	0.6896061723
2	0.5047194842	0.6882547888
3	0.510025578	0.6867528304
4	0.5100160472	0.685840925
5	0.5138525786	0.6845337289
6	0.5004340678	0.683531473
7	0.5004826116	0.6823994841
8	0.5224919455	0.6811154445
9	0.5025836615	0.6803633294
10	0.5079664723	0.6795793133
11	0.5162187762	0.6788285907
12	0.520629519	0.678108527
13	0.5169618982	0.6775685062
14	0.5298817708	0.6764826424
15	0.532278308	0.6754773678
16	0.5238041449	0.6750687722
17	0.5222002338	0.6742242633
18	0.5223410904	0.6737777421
19	0.5213770421	0.6731891787
20	0.5180529401	0.6727112292
21	0.5232219378	0.6719974773
22	0.5282866	0.6711903362
23	0.5350625399	0.6708368491
24	0.5329482602	0.6704926603
25	0.5356665561	0.66996374
26	0.5274052738	0.6696060562
27	0.5407185752	0.6691621231
28	0.5405076955	0.6687392599
29	0.5392363879	0.6680575007
30	0.54048766	0.6673010796
31	0.5427087098	0.6669584691
32	0.5460859571	0.6665040988
33	0.550309797	0.6660440756
34	0.5504511438	0.6655399817
35	0.552205982	0.6650025044
36	0.5530743903	0.6646982786
37	0.5501371464	0.6643137312
38	0.5541766238	0.663733161
39	0.5558265262	0.663216591
40	0.5558014028	0.6627978396
41	0.5561207148	0.6625266426
42	0.5555832951	0.6621110297
43	0.5559638267	0.6616376339
44	0.5556239019	0.6612656051
45	0.5541903924	0.6611598147
46	0.5559232118	0.6607815096
47	0.5561511658	0.6604732292
48	0.5561060255	0.6602545865
49	0.5563194601	0.6599350601
50	0.5569477574	0.6598748667
51	0.5612119984	0.6596366123
52	0.5605408164	0.6592265491
53	0.5606222404	0.6590113046
54	0.5607546048	0.6588683465
55	0.5603878194	0.658435016
56	0.5611220247	0.6582132862
57	0.5615797377	0.6580288451
58	0.5621281669	0.6574082513
59	0.5624835909	0.657132793
60	0.5626060894	0.6568149251
61	0.564543017	0.6566745064
62	0.5639059846	0.6564746598
63	0.564829587	0.6562096507
64	0.5658653183	0.6559135735
65	0.5660444978	0.6556860537
66	0.5671891156	0.6554471053
67	0.5696780781	0.6551120622
68	0.5683370368	0.6548049957
69	0.5688752085	0.6545657005
70	0.5681831071	0.6541818595
71	0.5712022702	0.6538474749
72	0.5719314617	0.65361855
73	0.573366235	0.6535244529
74	0.5740717984	0.6533630724
75	0.5752882023	0.6531248725
76	0.5747041499	0.6529744837
77	0.5756919409	0.6528320953
78	0.575417963	0.6527570333
79	0.5767554092	0.6525141985
80	0.5754695567	0.6523225992
81	0.5772560369	0.652081219
82	0.5787625884	0.6517547228
83	0.5789099811	0.6514181079
84	0.5800955535	0.6511671676
85	0.5800644885	0.6509378575
86	0.5804903048	0.6508602055
87	0.5804903048	0.6507453961
88	0.5808848367	0.6505139965
89	0.5810511422	0.6502979021
90	0.5811547597	0.6500590329
91	0.5811340332	0.6497895735
92	0.5805835572	0.6494254122
93	0.5800748431	0.6492290843
94	0.5812376802	0.6490165351
95	0.5819737458	0.6488108319
96	0.5822221211	0.6483762536
97	0.5831747184	0.6480705586
98	0.5833201602	0.6480276041
99	0.5840644067	0.647688661
100	0.5838587621	0.6476051874
101	0.5835592579	0.6474934587
102	0.5841372021	0.6474130849
103	0.5847036931	0.6471831768
104	0.586400426	0.6468093308
105	0.5855956521	0.6466152558
106	0.5856999	0.6463046069
107	0.589537929	0.6459580221
108	0.590348956	0.6457673353
109	0.5917265794	0.6455723345
110	0.5911277259	0.6453239688
111	0.5912430486	0.6450616214
112	0.5924621196	0.6448335144
113	0.5920835659	0.6445942122
114	0.5914738289	0.6443704614
115	0.5946234809	0.6439771039
116	0.595177097	0.6438439498
117	0.594476133	0.6438434063
