iter	Passed	Remaining
0	11	35524
1	22	32981
2	31	31198
3	41	31228
4	50	30544
5	60	30382
6	71	30577
7	82	30694
8	92	30774
9	102	30770
10	113	30833
11	123	30696
12	133	30697
13	143	30673
14	154	30733
15	165	30869
16	175	30847
17	186	30876
18	196	30841
19	206	30816
20	217	30823
21	227	30792
22	238	30851
23	248	30849
24	259	30830
25	269	30814
26	279	30804
27	290	30783
28	300	30785
29	311	30804
30	321	30786
31	331	30787
32	342	30760
33	352	30742
34	362	30738
35	373	30739
36	383	30737
37	393	30709
38	405	30776
39	417	30907
40	429	31030
41	441	31089
42	453	31173
43	465	31251
44	477	31338
45	488	31367
46	500	31453
47	512	31489
48	523	31501
49	534	31541
50	545	31561
51	556	31563
52	568	31589
53	579	31625
54	591	31653
55	603	31705
56	614	31731
57	626	31782
58	638	31808
59	649	31819
60	660	31837
61	669	31743
62	681	31749
63	692	31756
64	703	31762
65	714	31775
66	726	31788
67	737	31794
68	748	31804
69	760	31834
70	772	31874
71	783	31875
72	795	31877
73	807	31927
74	819	31941
75	829	31905
76	839	31860
77	849	31810
78	859	31793
79	869	31750
80	880	31722
81	890	31691
82	900	31649
83	911	31626
84	921	31601
85	930	31545
86	941	31516
87	951	31486
88	961	31447
89	972	31436
90	984	31471
91	996	31495
92	1008	31524
93	1020	31533
94	1030	31526
95	1041	31515
96	1052	31513
97	1064	31517
98	1075	31505
99	1086	31509
100	1096	31484
101	1108	31488
102	1119	31495
103	1131	31501
104	1142	31494
105	1154	31517
106	1166	31535
107	1177	31527
108	1187	31506
109	1198	31500
110	1209	31476
111	1219	31455
112	1229	31416
113	1239	31378
114	1249	31341
115	1259	31308
116	1269	31274
117	1276	31170
118	1286	31148
119	1296	31123
120	1306	31089
121	1317	31069
122	1326	31034
123	1335	30975
124	1345	30948
125	1355	30921
126	1365	30897
127	1374	30844
128	1384	30820
129	1394	30796
130	1405	30780
131	1415	30760
132	1425	30726
133	1435	30695
134	1445	30667
135	1454	30639
136	1464	30614
137	1474	30586
138	1485	30571
139	1495	30548
140	1505	30522
141	1515	30502
142	1525	30477
143	1534	30439
144	1545	30428
145	1555	30404
146	1565	30387
147	1575	30362
148	1584	30316
149	1595	30314
150	1605	30294
151	1616	30280
152	1626	30261
153	1635	30232
154	1646	30214
155	1653	30142
156	1663	30127
157	1673	30106
158	1683	30085
159	1694	30068
160	1703	30042
161	1713	30023
162	1724	30016
163	1734	29994
164	1744	29972
165	1754	29948
166	1764	29935
167	1774	29913
168	1784	29891
169	1794	29878
170	1804	29854
171	1814	29835
172	1824	29818
173	1834	29794
174	1844	29772
175	1855	29768
176	1865	29751
177	1874	29718
178	1884	29693
179	1894	29682
180	1904	29669
181	1914	29641
182	1923	29616
183	1933	29597
184	1944	29582
185	1954	29562
186	1963	29542
187	1974	29531
188	1985	29524
189	1994	29502
190	2005	29490
191	2015	29474
192	2025	29454
193	2035	29441
194	2044	29415
195	2054	29398
196	2064	29378
197	2074	29362
198	2085	29357
199	2096	29345
200	2106	29328
201	2116	29317
202	2126	29298
203	2136	29281
204	2146	29269
205	2157	29255
206	2167	29244
207	2177	29229
208	2188	29227
209	2199	29215
210	2208	29197
211	2218	29181
212	2229	29166
213	2239	29153
214	2250	29145
215	2260	29129
216	2270	29112
217	2281	29112
218	2291	29098
219	2301	29085
220	2313	29090
221	2324	29081
222	2334	29074
223	2344	29059
224	2355	29045
225	2365	29038
226	2375	29024
227	2386	29014
228	2397	29004
229	2406	28988
230	2416	28971
231	2427	28958
232	2437	28946
233	2447	28930
234	2458	28921
235	2468	28907
236	2478	28891
237	2487	28872
238	2498	28861
239	2508	28851
240	2518	28836
241	2529	28822
242	2539	28806
243	2549	28795
244	2559	28781
245	2570	28773
246	2580	28764
247	2590	28742
248	2600	28730
249	2610	28717
250	2620	28705
251	2631	28692
252	2641	28677
253	2651	28663
254	2661	28649
255	2671	28635
256	2681	28625
257	2692	28612
258	2702	28596
259	2712	28582
260	2722	28566
261	2732	28553
262	2742	28539
263	2752	28522
264	2763	28523
265	2774	28517
266	2784	28502
267	2794	28490
268	2804	28472
269	2814	28456
270	2824	28443
271	2834	28429
272	2845	28419
273	2855	28406
274	2865	28392
275	2875	28382
276	2885	28367
277	2895	28355
278	2906	28341
279	2915	28324
280	2926	28314
281	2936	28304
282	2946	28289
283	2956	28277
284	2966	28264
285	2976	28245
286	2987	28237
287	2997	28223
288	3007	28208
289	3017	28195
290	3027	28182
291	3037	28167
292	3047	28151
293	3057	28140
294	3067	28128
295	3077	28111
296	3087	28098
297	3097	28085
298	3107	28073
299	3118	28064
300	3128	28051
301	3139	28044
302	3150	28043
303	3160	28031
304	3171	28019
305	3180	28004
306	3191	27993
307	3200	27975
308	3210	27959
309	3220	27946
310	3230	27931
311	3240	27917
312	3250	27906
313	3260	27890
314	3270	27880
315	3282	27877
316	3292	27864
317	3301	27848
318	3311	27834
319	3322	27823
320	3333	27819
321	3343	27809
322	3354	27799
323	3364	27786
324	3374	27773
325	3384	27763
326	3394	27747
327	3404	27733
328	3414	27722
329	3424	27707
330	3434	27696
331	3445	27684
332	3454	27668
333	3464	27655
334	3474	27644
335	3485	27631
336	3495	27622
337	3505	27611
338	3516	27600
339	3526	27587
340	3537	27581
341	3547	27572
342	3558	27566
343	3569	27556
344	3579	27547
345	3589	27536
346	3600	27525
347	3610	27518
348	3620	27504
349	3631	27494
350	3641	27485
351	3652	27477
352	3663	27470
353	3674	27463
354	3684	27454
355	3695	27448
356	3706	27442
357	3717	27432
358	3728	27428
359	3739	27419
360	3749	27411
361	3760	27407
362	3772	27405
363	3783	27400
364	3796	27405
365	3807	27404
366	3820	27407
367	3831	27406
368	3843	27406
369	3855	27408
370	3867	27405
371	3879	27407
372	3891	27407
373	3903	27409
374	3915	27408
375	3929	27420
376	3941	27423
377	3953	27426
378	3966	27427
379	3978	27432
380	3990	27433
381	4003	27436
382	4015	27440
383	4028	27444
384	4041	27449
385	4053	27450
386	4065	27451
387	4077	27449
388	4089	27447
389	4101	27448
390	4113	27449
391	4127	27457
392	4139	27461
393	4151	27461
394	4164	27463
395	4176	27465
396	4188	27465
397	4201	27469
398	4213	27464
399	4224	27456
400	4235	27451
401	4246	27446
402	4258	27440
403	4269	27437
404	4280	27428
405	4291	27419
406	4302	27414
407	4314	27408
408	4326	27410
409	4338	27406
410	4351	27408
411	4362	27400
412	4373	27393
413	4383	27383
414	4394	27374
415	4405	27367
416	4417	27363
417	4428	27355
418	4439	27348
419	4450	27341
420	4462	27334
421	4472	27324
422	4483	27316
423	4495	27309
424	4505	27298
425	4516	27291
426	4528	27285
427	4539	27279
428	4550	27273
429	4562	27266
430	4572	27257
431	4583	27246
432	4594	27238
433	4605	27227
434	4615	27217
435	4626	27209
436	4637	27197
437	4648	27189
438	4659	27183
439	4670	27175
440	4684	27184
441	4698	27190
442	4712	27200
443	4727	27212
444	4740	27219
445	4754	27227
446	4769	27238
447	4783	27247
448	4796	27252
449	4810	27259
450	4823	27261
451	4837	27269
452	4851	27275
453	4862	27270
454	4875	27270
455	4886	27262
456	4897	27253
457	4909	27248
458	4920	27239
459	4932	27234
460	4943	27227
461	4954	27217
462	4966	27211
463	4976	27201
464	4988	27193
465	4998	27182
466	5010	27175
467	5021	27166
468	5032	27157
469	5043	27148
470	5054	27140
471	5065	27131
472	5075	27115
473	5086	27107
474	5097	27099
475	5109	27093
476	5120	27084
477	5132	27082
478	5144	27077
479	5156	27072
480	5167	27064
481	5178	27052
482	5189	27045
483	5201	27036
484	5211	27024
485	5222	27015
486	5233	27005
487	5244	26995
488	5255	26987
489	5266	26978
490	5277	26966
491	5288	26957
492	5299	26949
493	5310	26938
494	5321	26929
495	5332	26920
496	5343	26911
497	5354	26903
498	5365	26892
499	5376	26880
500	5387	26872
501	5398	26864
502	5410	26857
503	5421	26849
504	5432	26841
505	5444	26835
506	5455	26827
507	5466	26818
508	5478	26813
509	5489	26802
510	5501	26795
511	5512	26785
512	5524	26780
513	5535	26773
514	5546	26763
515	5557	26753
516	5568	26741
517	5578	26731
518	5589	26720
519	5600	26710
520	5612	26706
521	5623	26696
522	5635	26689
523	5646	26681
524	5658	26675
525	5671	26674
526	5682	26666
527	5693	26657
528	5704	26644
529	5715	26637
530	5726	26628
531	5737	26618
532	5748	26606
533	5759	26596
534	5770	26585
535	5781	26576
536	5792	26568
537	5803	26557
538	5814	26548
539	5825	26538
540	5836	26527
541	5847	26518
542	5858	26507
543	5868	26495
544	5879	26486
545	5891	26477
546	5901	26463
547	5913	26460
548	5924	26451
549	5935	26442
550	5947	26432
551	5957	26422
552	5968	26411
553	5979	26400
554	5990	26391
555	6001	26380
556	6012	26370
557	6023	26361
558	6034	26348
559	6045	26339
560	6056	26330
561	6066	26318
562	6077	26307
563	6088	26298
564	6099	26289
565	6110	26277
566	6121	26267
567	6132	26256
568	6143	26247
569	6154	26235
570	6165	26225
571	6176	26217
572	6188	26210
573	6198	26199
574	6210	26191
575	6221	26183
576	6232	26174
577	6244	26165
578	6256	26158
579	6268	26153
580	6279	26145
581	6291	26138
582	6303	26133
583	6315	26125
584	6325	26114
585	6336	26104
586	6348	26095
587	6359	26085
588	6370	26077
589	6381	26067
590	6392	26056
591	6403	26048
592	6414	26038
593	6425	26028
594	6437	26020
595	6448	26010
596	6459	26000
597	6470	25991
598	6482	25983
599	6492	25971
600	6503	25960
601	6515	25953
602	6525	25941
603	6537	25931
604	6547	25918
605	6558	25908
606	6569	25898
607	6580	25888
608	6590	25876
609	6603	25871
610	6614	25862
611	6625	25851
612	6635	25839
613	6646	25829
614	6657	25817
615	6667	25804
616	6678	25793
617	6689	25782
618	6700	25772
619	6711	25761
620	6722	25751
621	6733	25742
622	6744	25732
623	6755	25720
624	6766	25711
625	6777	25701
626	6787	25687
627	6798	25677
628	6809	25668
629	6819	25654
630	6830	25644
631	6840	25631
632	6851	25620
633	6862	25609
634	6872	25597
635	6883	25587
636	6894	25577
637	6905	25566
638	6916	25553
639	6926	25542
640	6937	25529
641	6947	25517
642	6958	25505
643	6968	25494
644	6978	25481
645	6989	25470
646	7000	25458
647	7011	25448
648	7022	25439
649	7033	25427
650	7043	25415
651	7054	25404
652	7064	25391
653	7076	25384
654	7087	25375
655	7098	25362
656	7108	25350
657	7119	25341
658	7130	25328
659	7140	25317
660	7151	25307
661	7162	25295
662	7174	25287
663	7187	25286
664	7200	25284
665	7214	25282
666	7227	25281
667	7241	25278
668	7254	25278
669	7268	25275
670	7281	25271
671	7293	25267
672	7306	25263
673	7319	25260
674	7332	25257
675	7345	25251
676	7358	25247
677	7371	25245
678	7384	25241
679	7396	25234
680	7408	25229
681	7421	25224
682	7433	25217
683	7446	25213
684	7458	25207
685	7471	25203
686	7485	25201
687	7498	25197
688	7510	25190
689	7522	25185
690	7535	25178
691	7547	25173
692	7559	25167
693	7572	25160
694	7584	25154
695	7597	25148
696	7610	25145
697	7621	25137
698	7633	25127
699	7644	25117
700	7655	25106
701	7666	25097
702	7678	25087
703	7688	25076
704	7700	25066
705	7711	25057
706	7722	25046
707	7734	25037
708	7745	25028
709	7756	25016
710	7767	25005
711	7778	24996
712	7789	24986
713	7800	24975
714	7811	24963
715	7822	24952
716	7833	24942
717	7844	24931
718	7855	24922
719	7867	24915
720	7879	24905
721	7890	24895
722	7901	24884
723	7912	24874
724	7923	24864
725	7934	24853
726	7945	24842
727	7957	24833
728	7968	24822
729	7979	24812
730	7990	24803
731	8001	24791
732	8012	24781
733	8023	24770
734	8034	24758
735	8045	24747
736	8055	24736
737	8066	24724
738	8077	24713
739	8089	24704
740	8100	24694
741	8110	24682
742	8121	24669
743	8131	24657
744	8143	24647
745	8153	24636
746	8164	24626
747	8176	24616
748	8187	24604
749	8197	24593
750	8209	24584
751	8220	24575
752	8232	24566
753	8243	24556
754	8257	24552
755	8269	24545
756	8281	24536
757	8293	24529
758	8304	24520
759	8315	24508
760	8326	24496
761	8337	24486
762	8348	24476
763	8359	24465
764	8370	24454
765	8381	24443
766	8392	24432
767	8403	24422
768	8414	24410
769	8424	24399
770	8436	24389
771	8447	24380
772	8458	24369
773	8470	24359
774	8481	24350
775	8492	24338
776	8503	24329
777	8514	24317
778	8525	24305
779	8536	24295
780	8547	24285
781	8558	24275
782	8570	24265
783	8581	24256
784	8592	24245
785	8603	24233
786	8614	24223
787	8625	24212
788	8636	24202
789	8647	24191
790	8658	24180
791	8669	24169
792	8680	24157
793	8690	24146
794	8702	24137
795	8713	24127
796	8724	24116
797	8735	24104
798	8746	24093
799	8756	24081
800	8767	24069
801	8778	24059
802	8789	24047
803	8800	24036
804	8810	24024
805	8821	24011
806	8832	24002
807	8843	23991
808	8854	23979
809	8866	23972
810	8877	23961
811	8888	23950
812	8899	23939
813	8909	23927
814	8920	23916
815	8931	23905
816	8942	23895
817	8953	23883
818	8964	23872
819	8975	23862
820	8986	23851
821	8997	23841
822	9008	23829
823	9019	23818
824	9030	23806
825	9041	23795
826	9051	23783
827	9062	23773
828	9074	23763
829	9085	23752
830	9097	23744
831	9108	23733
832	9118	23722
833	9129	23711
834	9140	23700
835	9151	23690
836	9162	23679
837	9174	23668
838	9185	23658
839	9196	23646
840	9206	23635
841	9217	23623
842	9228	23614
843	9240	23604
844	9251	23594
845	9261	23581
846	9273	23571
847	9284	23561
848	9294	23549
849	9305	23538
850	9317	23528
851	9327	23516
852	9339	23507
853	9350	23497
854	9361	23485
855	9372	23475
856	9382	23462
857	9393	23450
858	9404	23439
859	9415	23429
860	9425	23417
861	9437	23406
862	9448	23395
863	9459	23386
864	9470	23375
865	9482	23367
866	9493	23356
867	9504	23345
868	9515	23334
869	9526	23323
870	9537	23312
871	9548	23302
872	9559	23290
873	9570	23279
874	9581	23268
875	9591	23256
876	9602	23245
877	9613	23235
878	9624	23223
879	9635	23212
880	9646	23201
881	9656	23189
882	9667	23178
883	9679	23170
884	9691	23160
885	9702	23150
886	9713	23139
887	9725	23130
888	9736	23119
889	9747	23109
890	9758	23097
891	9769	23086
892	9780	23076
893	9790	23064
894	9801	23052
895	9812	23042
896	9823	23031
897	9835	23021
898	9845	23010
899	9856	22999
900	9867	22988
901	9879	22980
902	9890	22969
903	9901	22958
904	9913	22948
905	9925	22940
906	9936	22929
907	9947	22918
908	9958	22908
909	9968	22895
910	9979	22883
911	9990	22872
912	10001	22861
913	10012	22851
914	10023	22841
915	10034	22830
916	10046	22820
917	10057	22809
918	10069	22800
919	10080	22789
920	10091	22779
921	10102	22767
922	10113	22757
923	10124	22746
924	10135	22735
925	10145	22723
926	10156	22711
927	10166	22700
928	10177	22688
929	10188	22676
930	10199	22666
931	10210	22655
932	10221	22644
933	10232	22634
934	10243	22624
935	10255	22614
936	10267	22606
937	10278	22595
938	10289	22584
939	10300	22573
940	10311	22561
941	10322	22551
942	10333	22540
943	10344	22529
944	10354	22517
945	10366	22508
946	10377	22497
947	10388	22486
948	10398	22474
949	10409	22462
950	10419	22450
951	10430	22439
952	10442	22429
953	10453	22418
954	10464	22407
955	10474	22395
956	10485	22384
957	10495	22372
958	10506	22360
959	10517	22348
960	10527	22336
961	10537	22324
962	10548	22312
963	10558	22300
964	10569	22289
965	10580	22277
966	10591	22268
967	10603	22258
968	10615	22248
969	10626	22239
970	10638	22229
971	10650	22221
972	10662	22211
973	10673	22202
974	10685	22193
975	10697	22183
976	10709	22174
977	10720	22165
978	10732	22155
979	10744	22146
980	10755	22136
981	10767	22126
982	10779	22117
983	10790	22108
984	10803	22099
985	10814	22089
986	10826	22080
987	10838	22071
988	10849	22061
989	10861	22052
990	10873	22042
991	10885	22033
992	10896	22024
993	10909	22016
994	10921	22008
995	10933	21998
996	10945	21990
997	10957	21981
998	10969	21972
999	10981	21962
1000	10993	21954
1001	11005	21945
1002	11017	21936
1003	11029	21927
1004	11042	21919
1005	11053	21909
1006	11064	21898
1007	11076	21889
1008	11087	21879
1009	11098	21867
1010	11109	21856
1011	11120	21846
1012	11133	21838
1013	11146	21830
1014	11158	21823
1015	11170	21814
1016	11182	21804
1017	11195	21796
1018	11208	21789
1019	11220	21780
1020	11231	21770
1021	11243	21761
1022	11255	21751
1023	11267	21743
1024	11279	21733
1025	11290	21723
1026	11302	21714
1027	11314	21703
1028	11325	21694
1029	11337	21683
1030	11348	21673
1031	11359	21661
1032	11370	21650
1033	11381	21640
1034	11392	21628
1035	11403	21618
1036	11414	21607
1037	11425	21596
1038	11437	21586
1039	11448	21576
1040	11459	21565
1041	11471	21555
1042	11482	21544
1043	11494	21534
1044	11505	21524
1045	11516	21513
1046	11527	21501
1047	11538	21491
1048	11549	21480
1049	11560	21469
1050	11571	21457
1051	11582	21447
1052	11593	21436
1053	11604	21425
1054	11615	21413
1055	11626	21402
1056	11636	21391
1057	11647	21379
1058	11658	21367
1059	11668	21356
1060	11680	21345
1061	11690	21334
1062	11701	21322
1063	11713	21312
1064	11724	21301
1065	11735	21290
1066	11746	21280
1067	11757	21268
1068	11767	21257
1069	11779	21246
1070	11790	21235
1071	11801	21224
1072	11813	21214
1073	11823	21203
1074	11834	21192
1075	11846	21182
1076	11857	21171
1077	11867	21159
1078	11880	21150
1079	11891	21140
1080	11902	21128
1081	11913	21118
1082	11924	21107
1083	11935	21096
1084	11946	21085
1085	11957	21074
1086	11968	21062
1087	11979	21051
1088	11990	21040
1089	12001	21029
1090	12012	21018
1091	12023	21008
1092	12034	20996
1093	12045	20986
1094	12056	20974
1095	12066	20962
1096	12077	20951
1097	12088	20940
1098	12099	20928
1099	12110	20918
1100	12122	20908
1101	12132	20896
1102	12143	20885
1103	12154	20873
1104	12164	20861
1105	12175	20850
1106	12186	20839
1107	12197	20828
1108	12209	20819
1109	12220	20808
1110	12231	20796
1111	12242	20785
1112	12252	20773
1113	12263	20762
1114	12275	20753
1115	12288	20744
1116	12299	20733
1117	12310	20722
1118	12321	20711
1119	12332	20700
1120	12343	20690
1121	12353	20678
1122	12364	20666
1123	12375	20655
1124	12386	20644
1125	12397	20633
1126	12409	20623
1127	12420	20612
1128	12431	20601
1129	12441	20589
1130	12452	20577
1131	12463	20566
1132	12474	20555
1133	12484	20543
1134	12495	20532
1135	12506	20520
1136	12517	20510
1137	12528	20498
1138	12538	20486
1139	12549	20474
1140	12559	20463
1141	12570	20452
1142	12582	20441
1143	12592	20429
1144	12603	20418
1145	12614	20407
1146	12624	20395
1147	12635	20384
1148	12646	20372
1149	12657	20361
1150	12669	20351
1151	12680	20341
1152	12690	20329
1153	12701	20318
1154	12712	20307
1155	12722	20294
1156	12733	20284
1157	12744	20272
1158	12754	20260
1159	12765	20249
1160	12776	20238
1161	12787	20226
1162	12798	20215
1163	12809	20204
1164	12819	20192
1165	12830	20181
1166	12841	20170
1167	12852	20158
1168	12862	20147
1169	12873	20136
1170	12885	20125
1171	12895	20114
1172	12906	20102
1173	12917	20090
1174	12927	20079
1175	12938	20067
1176	12948	20055
1177	12959	20044
1178	12970	20033
1179	12981	20021
1180	12992	20010
1181	13002	19998
1182	13013	19987
1183	13024	19976
1184	13034	19964
1185	13046	19954
1186	13058	19944
1187	13068	19932
1188	13079	19921
1189	13090	19910
1190	13100	19898
1191	13111	19887
1192	13122	19876
1193	13133	19864
1194	13143	19852
1195	13154	19841
1196	13164	19829
1197	13176	19819
1198	13186	19807
1199	13197	19796
1200	13208	19785
1201	13219	19774
1202	13229	19762
1203	13240	19750
1204	13250	19738
1205	13260	19726
1206	13271	19714
1207	13282	19703
1208	13292	19691
1209	13303	19681
1210	13314	19669
1211	13325	19657
1212	13336	19647
1213	13347	19636
1214	13358	19625
1215	13369	19614
1216	13379	19602
1217	13390	19591
1218	13402	19581
1219	13412	19568
1220	13423	19558
1221	13435	19547
1222	13446	19537
1223	13456	19525
1224	13466	19512
1225	13476	19500
1226	13487	19489
1227	13498	19478
1228	13508	19466
1229	13519	19455
1230	13530	19443
1231	13540	19431
1232	13550	19419
1233	13561	19407
1234	13572	19396
1235	13582	19384
1236	13592	19372
1237	13603	19362
1238	13615	19351
1239	13625	19339
1240	13636	19327
1241	13646	19316
1242	13657	19305
1243	13668	19293
1244	13678	19282
1245	13689	19270
1246	13700	19259
1247	13711	19248
1248	13722	19237
1249	13732	19225
1250	13742	19213
1251	13753	19202
1252	13764	19191
1253	13775	19180
1254	13785	19168
1255	13796	19157
1256	13807	19145
1257	13818	19134
1258	13829	19123
1259	13840	19112
1260	13851	19101
1261	13862	19090
1262	13872	19079
1263	13883	19067
1264	13893	19055
1265	13904	19044
1266	13915	19033
1267	13925	19021
1268	13936	19010
1269	13946	18998
1270	13961	18992
1271	13972	18982
1272	13983	18970
1273	13995	18960
1274	14006	18950
1275	14017	18939
1276	14029	18929
1277	14041	18920
1278	14053	18910
1279	14065	18900
1280	14078	18891
1281	14090	18882
1282	14102	18872
1283	14114	18862
1284	14125	18852
1285	14137	18843
1286	14149	18833
1287	14161	18823
1288	14173	18813
1289	14185	18804
1290	14197	18794
1291	14208	18784
1292	14222	18775
1293	14234	18766
1294	14245	18755
1295	14257	18746
1296	14269	18736
1297	14281	18726
1298	14292	18716
1299	14305	18706
1300	14316	18696
1301	14328	18686
1302	14340	18677
1303	14357	18674
1304	14377	18674
1305	14392	18667
1306	14405	18659
1307	14417	18650
1308	14431	18643
1309	14444	18634
1310	14456	18624
1311	14467	18614
1312	14478	18602
1313	14489	18591
1314	14500	18580
1315	14510	18568
1316	14521	18557
1317	14533	18546
1318	14543	18534
1319	14554	18523
1320	14565	18512
1321	14575	18501
1322	14587	18490
1323	14598	18479
1324	14609	18468
1325	14619	18456
1326	14630	18445
1327	14641	18433
1328	14652	18423
1329	14663	18411
1330	14673	18399
1331	14684	18388
1332	14695	18377
1333	14705	18365
1334	14716	18353
1335	14726	18342
1336	14737	18330
1337	14747	18319
1338	14758	18306
1339	14768	18295
1340	14778	18283
1341	14789	18271
1342	14799	18260
1343	14810	18248
1344	14820	18236
1345	14831	18225
1346	14841	18213
1347	14852	18201
1348	14863	18190
1349	14873	18178
1350	14883	18167
1351	14894	18155
1352	14905	18144
1353	14915	18132
1354	14926	18120
1355	14936	18108
1356	14947	18097
1357	14957	18086
1358	14968	18074
1359	14979	18063
1360	14990	18052
1361	15000	18040
1362	15012	18030
1363	15023	18019
1364	15034	18007
1365	15044	17996
1366	15057	17987
